,0
1724,1587164
1725,1587125
1726,1585564
1727,1585328
1728,1584798
1729,1583832
1730,1583650
1731,1582647
1732,1582082
1733,1582077
1734,1582075
1735,1582036
1736,1582032
1737,1581997
1738,1581466
1739,1581349
1740,1581314
1741,1581180
1742,1580735
1743,1580112
1744,1577736
1745,1576354
1746,1575282
1747,1573404
1748,1573134
1749,1572483
1750,1571377
1751,1569679
1752,1569447
1753,1565251
1754,1564680
1755,1564210
1756,1561073
1757,1558799
1758,1556166
1759,1556047
1760,1551883
1761,1550220
1762,1549628
1763,1549403
1764,1543010
1765,1533353
1766,1528933
1767,1525000
1768,1522893
1769,1518272
1770,1512644
1771,1507927
1772,1481702
1773,1421294
1774,1617498
1775,1617034
1776,1615683
1777,1615682
1778,1614293
1779,1613050
1780,1611492
1781,1610922
1782,1609335
1783,1605777
1784,1604535
1785,1604350
1786,1597982
1787,1597728
1788,1597599
1789,1596364
1790,1584604
1791,1572167
1792,1558265
1793,1557836
1794,1596848
1795,1596847
1796,1596845
1797,1596814
1798,1596812
1799,1596793
1800,1596770
1801,1596753
1802,1596737
1803,1596722
1804,1596718
1805,1596712
1806,1596700
1807,1596698
1808,1596692
1809,1596685
1810,1596671
1811,1596670
1812,1596667
1813,1596652
1814,1596650
1815,1616062
1816,1615830
1817,1613497
1818,1611893
1819,1607595
1820,1591035
1821,1591027
1822,1591022
1823,1591006
1824,1590954
1825,1590952
1826,1590951
1827,1590950
1828,1590935
1829,1590916
1830,1590913
1831,1590876
1832,1590871
1833,1590813
1834,1590807
1835,1590804
1836,1590801
1837,1590799
1838,1590794
1839,1590792
1840,1590791
1841,1590507
1842,1590497
1843,1590479
1844,1590474
1845,1590463
1846,1590459
1847,1590452
1848,1590443
1849,1590407
1850,1590397
1851,1590378
1852,1590364
1853,1590340
1854,1590336
1855,1590334
1856,1590327
1857,1590318
1858,1590304
1859,1590278
1860,1590256
1861,1590249
1862,1602508
1863,1602464
1864,1602416
1865,1602400
1866,1602335
1867,1602332
1868,1602312
1869,1602287
1870,1602207
1871,1602076
1872,1602071
1873,1602066
1874,1602010
1875,1602002
1876,1601983
1877,1601943
1878,1601938
1879,1601920
1880,1601905
1881,1601898
1882,1601896
1883,1601863
1884,1601853
1885,1601844
1886,1601832
1887,1601820
1888,1601797
1889,1601770
1890,1601758
1891,1601715
1892,1601691
1893,1601672
1894,1601671
1895,1601661
1896,1601644
1897,1601609
1898,1601601
1899,1601590
1900,1601570
1901,1601569
1902,1601558
1903,1601552
1904,1601528
1905,1601511
1906,1601413
1907,1601409
1908,1601388
1909,1601383
1910,1601359
1911,1601344
1912,1601339
1913,1601315
1914,1601292
1915,1601291
1916,1601268
1917,1601257
1918,1601249
1919,1601227
1920,1601213
1921,1601212
1922,1601183
1923,1601168
1924,1601157
1925,1601119
1926,1601109
1927,1601079
1928,1601038
1929,1601030
1930,1600978
1931,1600971
1932,1600947
1933,1600942
1934,1600922
1935,1600858
1936,1600842
1937,1600805
1938,1600796
1939,1600783
1940,1600769
1941,1600762
1942,1600641
1943,1600636
1944,1600633
1945,1600605
1946,1600581
1947,1600557
1948,1600460
1949,1600445
1950,1600350
1951,1600332
1952,1600318
1953,1600279
1954,1600266
1955,1600253
1956,1600238
1957,1600236
1958,1600216
1959,1600202
1960,1600181
1961,1600099
1962,1600069
1963,1600064
1964,1600010
1965,1599950
1966,1599896
1967,1599883
1968,1599815
1969,1599806
1970,1599800
1971,1599795
1972,1599792
1973,1599762
1974,1599705
1975,1599697
1976,1599660
1977,1599659
1978,1599636
1979,1599582
1980,1599581
1981,1599536
1982,1599505
1983,1599497
1984,1599327
1985,1599255
1986,1599196
1987,1599191
1988,1599151
1989,1599141
1990,1599125
1991,1599080
1992,1599075
1993,1599044
1994,1599041
1995,1598999
1996,1598997
1997,1598977
1998,1598890
1999,1598827
2000,1598814
2001,1598734
2002,1598728
2003,1598721
2004,1598711
2005,1598691
2006,1598684
2007,1598635
2008,1598608
2009,1598592
2010,1598574
2011,1598533
2012,1598522
2013,1598505
2014,1598488
2015,1598478
2016,1598477
2017,1598463
2018,1598462
2019,1598460
2020,1598455
2021,1598450
2022,1598436
2023,1598424
2024,1598417
2025,1598410
2026,1598398
2027,1598375
2028,1598362
2029,1598303
2030,1598280
